,Hotel Name,Hotel City,Hotel Country,Hotel Phone,Hotel Website,Hotel Email,Hotel Latitude,Hotel Longitude,Weather,City_Id,Temperature
194,Kasane Travel Lodge,Kasane,Botswana,phone not provided,website not provided,email not provided,-17.813710899999997,25.15446624485513,light rain,418,67.59
195,Travelodge,Kasane,Botswana,phone not provided,website not provided,email not provided,-17.8135638,25.1545073,light rain,418,67.59
196,Hôtel comfort,Oyem,Gabon,phone not provided,website not provided,email not provided,1.5999438,11.5772158,broken clouds,419,70.43
197,Hôtel Mvet Palace,Oyem,Gabon,011 98 63 01,website not provided,email not provided,1.6022823,11.576103,broken clouds,419,70.43
198,Brandon Motor Lodge,Brandon,United States,phone not provided,https://www.brandonmotorlodgefl.com,https://www.brandonmotorlodgefl.com,27.938291800000002,-82.2706389,overcast clouds,420,65.28
199,Holiday Inn Express Tampa-Brandon,Brandon,United States,phone not provided,website not provided,email not provided,27.9464561,-82.32666979071477,overcast clouds,420,65.28
200,فندق الكيلانى,Siwa Oasis,Egypt,phone not provided,website not provided,email not provided,29.202476,25.5206787,few clouds,421,58.75
201,لوج الباب إنشال,Siwa Oasis,Egypt,phone not provided,website not provided,email not provided,29.2016171,25.5199809,few clouds,421,58.75
202,Hôtel l'Afamba,Sangmélima,Cameroon,phone not provided,website not provided,email not provided,2.93857285,11.976037777092401,overcast clouds,424,69.84
203,Rock Farm Ndonkol,Meyomessala,Cameroon,phone not provided,website not provided,email not provided,3.1554129,12.1205096,overcast clouds,424,69.84
204,Marfil del Amazonas,Iquitos,Peru,phone not provided,website not provided,email not provided,-3.7476132,-73.2469273,broken clouds,431,71.1
205,THE LIGHT OF THE JUNGLE,Iquitos,Peru,phone not provided,https://www.booking.com/Share-Nl6U5A,https://www.booking.com/Share-Nl6U5A,-3.7469095,-73.2472075,broken clouds,431,71.1
206,Casa de Piedra,Trevelin,Argentina,phone not provided,website not provided,email not provided,-43.0800854,-71.46239465332518,broken clouds,433,71.08
207,Los Cuatro Vientos,Trevelin,Argentina,phone not provided,website not provided,email not provided,-43.0807022,-71.4563412,broken clouds,433,71.08
208,Hotel Playa de Luanco,Gozón,Spain,+34 985 883 555,http://www.hotelplayadeluanco.com/,http://www.hotelplayadeluanco.com/,43.6154292,-5.7911173,overcast clouds,436,54.01
209,La Estación de Luanco,Gozón,Spain,phone not provided,https://www.hotellaestaciondeluanco.com/,https://www.hotellaestaciondeluanco.com/,43.61327155,-5.79325775645378,overcast clouds,436,54.01
210,فندق عين الفارس,Ghadames,Libya,phone not provided,website not provided,email not provided,30.1335925,9.4948978,broken clouds,437,60.01
211,Hotel Bab Al-Fatah,Ghadames,Libya,phone not provided,website not provided,email not provided,30.1294113,9.4957329,broken clouds,437,60.01
212,Grand Hotel,Whangārei,New Zealand,phone not provided,website not provided,email not provided,-35.7265772,174.3194086,overcast clouds,440,71.6
213,Kingsgate Hotel,Whangārei,New Zealand,phone not provided,website not provided,email not provided,-35.72342355,174.3278009071513,overcast clouds,440,71.6
214,Kingsgate Hotel,Pirané,Argentina,phone not provided,website not provided,email not provided,-25.7310432,-59.1064393,broken clouds,441,70.95
215,Hotel Estrella,Pirané,Argentina,(0370) 446 1329,website not provided,email not provided,-25.7381146,-59.1106784,broken clouds,441,70.95
216,Econo Lodge,Fermanagh Township,United States,phone not provided,website not provided,email not provided,40.5791479,-77.3738221,light rain,442,50.63
217,Wyndham Garden,Boalsburg,United States,+1-814-466-2255,https://www.wyndhamhotels.com/wyndham-garden/boalsburg-pennsylvania/wy-garden-state-college/overview,https://www.wyndhamhotels.com/wyndham-garden/boalsburg-pennsylvania/wy-garden-state-college/overview,40.78493985,-77.76087202605575,light rain,442,50.63
218,Casa Madrigal,Pasto,Colombia,phone not provided,website not provided,email not provided,1.2149209,-77.2815507,moderate rain,446,55.56
219,Hotel Don Saúl,Pasto,Colombia,phone not provided,website not provided,email not provided,1.21337,-77.279148,moderate rain,446,55.56
220,Khoroni Hotel Casino and Convention Resort,Thulamela Local Municipality,South Africa,phone not provided,website not provided,email not provided,-22.96918075,30.455225671315702,overcast clouds,451,62.96
221,Club Recreativo Armada de Chile,Talcahuano,Chile,phone not provided,website not provided,email not provided,-36.6842302,-73.1143892,overcast clouds,452,57.9
222,MDS Hotel Concepción,Talcahuano,Chile,phone not provided,website not provided,email not provided,-36.7766652,-73.0740981,overcast clouds,452,57.9
223,Holiday Inn,Johnstown,United States,phone not provided,website not provided,email not provided,40.3250226,-78.92102404648426,fog,454,50.77
224,Holiday Inn Express,Richland Township,United States,phone not provided,website not provided,email not provided,40.2713303,-78.85964623650511,fog,454,50.77
225,Solpor do Coído,Muxía,Spain,phone not provided,website not provided,email not provided,43.1034602,-9.2171088,overcast clouds,456,56.91
226,A de Loló,Muxía,Spain,phone not provided,website not provided,email not provided,43.1067723,-9.217456,overcast clouds,456,56.91
227,พิมายอินน์,Phimai,Thailand,phone not provided,website not provided,email not provided,15.2102875,102.48668465,clear sky,459,62.98
228,พิมายโฮเต็ล,Phimai,Thailand,phone not provided,website not provided,email not provided,15.2161905,102.4952337,clear sky,459,62.98
229,The Traveler's Hotel,Salinas,United States,831.758.1198,http://travelershotel.net/,http://travelershotel.net/,36.6755063,-121.65440912966375,broken clouds,464,65.01
230,Howard Johnson by Wyndham Salinas,Salinas,United States,phone not provided,website not provided,email not provided,36.67043615,-121.6506480409268,broken clouds,464,65.01
231,City Plaza Hotel,Gwalior,India,phone not provided,website not provided,email not provided,26.207112,78.1633191,scattered clouds,466,51.71
232,Hotel City Plaza,Gwalior,India,+91-7509021711,website not provided,email not provided,26.2069311,78.1633514,scattered clouds,466,51.71
233,Fatima hotel,Musanze,Rwanda,phone not provided,website not provided,email not provided,-1.5004514,29.633412758400464,overcast clouds,471,58.51
234,Hotel Muhabura,Musanze,Rwanda,+250 788 364774,http://www.muhaburahotel.com/,http://www.muhaburahotel.com/,-1.5001733,29.6327104,overcast clouds,471,58.51
235,Hotel Vila Moura Executivo,Rio Grande,Brazil,phone not provided,website not provided,email not provided,-32.0347743,-52.098297268138424,scattered clouds,474,69.91
236,Hotel Vila Moura,Rio Grande,Brazil,phone not provided,website not provided,email not provided,-32.032293,-52.0978684,scattered clouds,474,69.91
237,Alerces,Chuy,Uruguay,phone not provided,website not provided,email not provided,-33.6960979,-53.4561576,scattered clouds,477,65.84
238,Hospedaje Atlántico,Chuy,Uruguay,phone not provided,website not provided,email not provided,-33.6948681,-53.4566586,scattered clouds,477,65.84
239,Hampton Inn & Suites,Patterson,United States,phone not provided,website not provided,email not provided,37.4651402,-121.1669681873876,overcast clouds,485,58.98
240,Westley Hotel,Westley,United States,phone not provided,website not provided,email not provided,37.549582099999995,-121.20024576032432,overcast clouds,485,58.98
241,فندق المدينة-سرت,Sirte,Libya,phone not provided,website not provided,email not provided,31.2064062,16.5889954,clear sky,492,59.61
242,فندق أفريقيا سرت,Sirte,Libya,phone not provided,website not provided,email not provided,31.2067485,16.5843082,clear sky,492,59.61
243,Pampa,Vacaria,Brazil,phone not provided,website not provided,email not provided,-28.5054942,-50.939601,clear sky,494,56.39
244,Pousada de Zeus,Vacaria,Brazil,phone not provided,website not provided,email not provided,-28.5062691,-50.9430563,clear sky,494,56.39
245,Mega Food Hotel,Tsiroanomandidy,Madagascar,phone not provided,website not provided,email not provided,-18.7698197,46.0467841,overcast clouds,496,70.72
246,Nirina Hotel,Tsiroanomandidy,Madagascar,phone not provided,website not provided,email not provided,-18.7705902,46.0472139,overcast clouds,496,70.72
247,Watson's Regency Suites,Ocean City,United States,(609) 398-4300,https://watsonsregency.com/,https://watsonsregency.com/,39.27644665,-74.57397180885242,overcast clouds,498,54.01
248,Impala Island Inn,Ocean City,United States,+1 609-399-7500,http://impalaislandinn.com,http://impalaislandinn.com,39.27540945,-74.57566460599728,overcast clouds,498,54.01
249,Los Olmos,Puerto Deseado,Argentina,phone not provided,website not provided,email not provided,-47.7522432,-65.8909923,broken clouds,503,55.99
250,Hotel Isla Chaffers,Puerto Deseado,Argentina,phone not provided,website not provided,email not provided,-47.75259,-65.89737145672746,broken clouds,503,55.99
251,Hotel valencia,Nouadhibou,Mauritania,phone not provided,website not provided,email not provided,20.9382416,-17.0346639,clear sky,505,71.58
252,Hotel valencia,Nouadhibou,Mauritania,phone not provided,website not provided,email not provided,20.9386248,-17.0344141,clear sky,505,71.58
253,White Rock Hotel,St Leonards,United Kingdom,phone not provided,website not provided,email not provided,50.8538454,0.573003022301487,overcast clouds,509,53.98
254,Chatsworth Hotel,St Leonards,United Kingdom,phone not provided,website not provided,email not provided,50.8545914,0.5774415,overcast clouds,509,53.98
255,Chatsworth Hotel,Itoman,Japan,phone not provided,website not provided,email not provided,26.13220135,127.65292560131385,broken clouds,512,69.82
256,ホテルスポーツロッジ糸満,Itoman,Japan,phone not provided,website not provided,email not provided,26.146771649999998,127.66084183774204,broken clouds,512,69.82
257,Aane Hotel,Pasighat,India,phone not provided,website not provided,email not provided,28.062567,95.3292071,clear sky,514,57.52
258,Serene Hotel,Pasighat,India,phone not provided,website not provided,email not provided,28.0600456,95.3336398,clear sky,514,57.52
259,Wasserturm Hotel Cologne,Cologne,Germany,+49 221 2008 0,https://www.wasserturm-hotel-cologne.com,https://www.wasserturm-hotel-cologne.com,50.931609449999996,6.951625453036969,light rain,521,50.97
260,Motel One Köln-Neumarkt,Cologne,Germany,+49 221 292692 0,https://www.motel-one.com/de/hotels/koeln/hotel-koeln-neumarkt/,https://www.motel-one.com/de/hotels/koeln/hotel-koeln-neumarkt/,50.9358428,6.951148216353712,light rain,521,50.97
261,SUN1 Richards Bay,Richards Bay,South Africa,+27 35 789 1001,https://www.southernsun.com/sun1-richards-bay?utm_source=openstreetmaps&utm_medium=businesslisting&utm_campaign=hotel_sun1-richards-bay,https://www.southernsun.com/sun1-richards-bay?utm_source=openstreetmaps&utm_medium=businesslisting&utm_campaign=hotel_sun1-richards-bay,-28.7521816,32.05550557288396,few clouds,524,63.36
262,Bon Hotel Waterfront,Richards Bay,South Africa,phone not provided,website not provided,email not provided,-28.7932035,32.0808188,few clouds,524,63.36
